Az_deg,El_deg,Gain_dBi,Gain_linear
-20,0,7.6888014859472,5.87327246602433
-20,5,7.5521474100526,5.69134275095013
-20,10,7.21160085682418,5.26211197832235
-20,15,6.68366311451584,4.65978963962765
-20,20,5.99370723043157,3.97530745409072
-20,25,5.17185446593565,3.28992082665038
-20,30,4.24703222964159,2.65890746278093
-20,35,3.24058011428908,2.10890983138977
-20,40,2.16182634798328,1.645063379836
-20,45,1.00755842826349,1.26111834377156
-20,50,-0.234833398633642,0.947363525981554
-20,55,-1.58274453571759,0.694585233847302
-20,60,-3.0546597104848,0.49491888855108
-20,65,-4.66842276877669,0.341316845465451
-20,70,-6.44091583042374,0.226938623836152
-20,75,-8.38713820333314,0.144972684076516
-20,80,-10.5145082703504,0.0888278545907233
-20,85,-12.8034466044672,0.0524391133020274
-20,90,-15.1579386515201,0.0304934199511367
-15,-90,-14.1882309454662,0.0381221078311473
-15,-85,-11.4995491117114,0.0708019287743504
-15,-80,-9.14145246776123,0.121858198447717
-15,-75,-7.05573855456943,0.19698181944551
-15,-70,-5.19382810821787,0.302424651721713
-15,-65,-3.5194412389315,0.444688477181732
-15,-60,-2.00430992425558,0.630331495068879
-15,-55,-0.62297059794249,0.866369071870477
-15,-50,0.651434106483671,1.16183220518153
-15,-45,1.84876330620302,1.5306515324043
-15,-40,2.99894544067824,1.99477788168245
-15,-35,4.12360106500815,2.58440222639007
-15,-30,5.22512542625671,3.3305238087678
-15,-25,6.28024065333238,4.24643093820295
-15,-20,7.24360120774295,5.30102827586699
-15,-15,8.05962808462861,6.39680053061621
-15,-10,8.67546068947219,7.37133364581412
-15,-5,9.04970638178002,8.03471799152669
-15,0,9.15637410728409,8.23450335307899
-15,5,8.98598493738553,7.91768999724957
-15,10,8.54582618362906,7.1545548638468
-15,15,7.8601299232386,6.10960302078571
-15,20,6.96949605621616,4.97679332240168
-15,25,5.92748159631134,3.91514778160328
-15,30,4.79188639999515,3.01431503670125
-15,35,3.61077699472368,2.29655948800653
-15,40,2.40879692027982,1.74132442602274
-15,45,1.18229117713288,1.31289234981507
-15,50,-0.0937425668879415,0.978646265795892
-15,55,-1.45295198551356,0.715656798767373
-15,60,-2.92750426827481,0.509623649017572
-15,65,-4.54394128659719,0.351241538959484
-15,70,-6.32339333026727,0.233163554286339
-15,75,-8.28242922688258,0.14851047163576
-15,80,-10.4295952857725,0.0905817009051069
-15,85,-12.7492397614839,0.0530977384423935
-15,90,-15.1579386515201,0.0304934199511367
-10,-90,-14.1882309454662,0.0381221078311473
-10,-85,-11.4403265280006,0.0717740325325728
-10,-80,-9.04820853875288,0.124502807894356
-10,-75,-6.9422759431999,0.202195928252538
-10,-70,-5.06926642289277,0.311224198888421
-10,-65,-3.39028177948938,0.458112162459588
-10,-60,-1.87413674273884,0.649510723505768
-10,-55,-0.490345900974198,0.89323433778393
-10,-50,0.796594462697549,1.20132204375897
-10,-45,2.02907298939639,1.59553853986679
-10,-40,3.25048552906403,2.11372533519871
-10,-35,4.4899284097011,2.81185447863299
-10,-30,5.74424543996575,3.75339735828812
-10,-25,6.97146916962091,4.97905492347081
-10,-20,8.10253411692855,6.46031079495602
-10,-15,9.06220814038459,8.05788034439685
-10,-10,9.78573453467154,9.51860825441581
-10,-5,10.2262399043572,10.53474409594
-10,0,10.3557343969357,10.8535906957556
-10,5,10.1640005383246,10.384845837324
-10,10,9.65805003587093,9.24283081505197
-10,15,8.86305711375795,7.69672042153731
-10,20,7.82413503921871,6.05917511202251
-10,25,6.60633885775268,4.57755831656032
-10,30,5.28803344826305,3.3791178993888
-10,35,3.94345897510767,2.47939600735037
-10,40,2.61873661551426,1.82756848994219
-10,45,1.31695901360531,1.35424082326108
-10,50,0.00473137791109677,1.00109003368009
-10,55,-1.36682774005896,0.729990529731024
-10,60,-2.84363169014234,0.519561343310781
-10,65,-4.46101005337064,0.358013163086698
-10,70,-6.24426621122325,0.237450658811187
-10,75,-8.21126847900212,0.150963915725178
-10,80,-10.3710542912894,0.0918109689541773
-10,85,-12.7106899654458,0.0535711542037338
-10,90,-15.1579386515201,0.0304934199511367
-5,-90,-14.1882309454662,0.0381221078311473
-5,-85,-11.3994547894699,0.0724526911013456
-5,-80,-8.98538164725416,0.126317009466469
-5,-75,-6.86688319866809,0.205736657661687
-5,-70,-4.98708646788085,0.317169453011088
-5,-65,-3.30525785041751,0.46716921345984
-5,-60,-1.78821423564497,0.662488854799389
-5,-55,-0.401931374101406,0.911605344333891
-5,-50,0.895302626860036,1.22893881901317
-5,-45,2.15480155651761,1.64240461107271
-5,-40,3.42889586337051,2.20236646914764
-5,-35,4.74987474932311,2.98529652162281
-5,-30,6.10747924832695,4.08082456514422
-5,-25,7.44467550046925,5.55223129975737
-5,-20,8.67703406906107,7.37400464613909
-5,-15,9.71928459637919,9.37407577145833
-5,-10,10.5023844691487,11.2263466129885
-5,-5,10.978598076185,12.5273672012857
-5,0,11.1201944949364,12.9425380216209
-5,5,10.916995954042,12.3509281538179
-5,10,10.375388967892,10.9028213713348
-5,15,9.51960356945435,8.95283039035059
-5,20,8.39482180031196,6.91006575445213
-5,25,7.06973591879442,5.09299901144672
-5,30,5.63289686246355,3.6583873464447
-5,35,4.17550003865827,2.6154715713762
-5,40,2.76127281491882,1.8885447560197
-5,45,1.40208726042161,1.381047849807
-5,50,0.0610780006364065,1.01416308886142
-5,55,-1.32096000592085,0.737741134770923
-5,60,-2.80000314384162,0.52480708034374
-5,65,-4.41787671235763,0.361586600946223
-5,70,-6.20286530646462,0.239725078411868
-5,75,-8.17354971739434,0.152280757420683
-5,80,-10.3389326283176,0.0924925466244361
-5,85,-12.6878750301626,0.0538533218266364
-5,90,-15.1579386515201,0.0304934199511367
0,-90,-14.1882309454662,0.0381221078311473
0,-85,-11.3770073106891,0.0728281484740651
0,-80,-8.95288634606074,0.127265698474886
0,-75,-6.82922524673049,0.207528370162603
0,-70,-4.94655933172223,0.320143041658239
0,-65,-3.26312539885963,0.471723443456263
0,-60,-1.74495012997264,0.669121503522737
0,-55,-0.356794956319063,0.921129103738368
0,-50,0.94511130536865,1.24311449522803
0,-45,2.21497304568462,1.66531849201954
0,-40,3.50783749488633,2.24276489410697
0,-35,4.85654624953939,3.05952935861976
0,-30,6.24792874101153,4.21495433772094
0,-25,7.61981334858295,5.78071202483148
0,-20,8.88310880493067,7.73233890115449
0,-15,9.94989503334461,9.88529202145663
0,-10,10.7502613021886,11.8857373826411
0,-5,11.236490552674,13.2937973849802
0,0,11.381042538425,13.7437185797608
0,5,11.1737323144432,13.1030751382137
0,10,10.6206241705477,11.5361904470535
0,15,9.74539842489752,9.43061124600826
0,20,8.59283602326239,7.23241939787074
0,25,7.23220221122619,5.28713282620543
0,30,5.7547754968584,3.76250901941697
0,35,4.25718366319616,2.66512980593974
0,40,2.80959087621348,1.90967335077866
0,45,1.4277545319911,1.38923415847791
0,50,0.0742768257248111,1.01724996263358
0,55,-1.31336349529637,0.739032692190331
0,60,-2.79456539270031,0.525464596787405
0,65,-4.41332006919606,0.361966178820325
0,70,-6.19872493430801,0.239953730710911
0,75,-8.16918788728165,0.152433777200641
